POS Item Number,POS Item Name,POS UPC,Mfg Name
coro-00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro 00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro_00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
coro00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
