POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price,,,,,,
3818,Jurassic World #2,6.73419E+11,"Lego Systems, Inc.",75916,29.99,,,,,,
3820,Hearts Emoji Pillow,,,THRW0002,19.99,,,,,,
3824,Flying Pig,,"Westminster, Inc.",428,9.99,,,,,,
3831,Poop Emoji Pillow,,,THRW0003,19.99,,,,,,
3833,Magic Monkey w/Cymbals,,"Westminster, Inc.",3030,14.99,,,,,,
3834,Grin Emoji Pillow,,,THRW0004,19.99,,,,,,
3836,Wink Emoji Pillow,,,THRW0005,19.99,,,,,,
3841,Smirk Emoji Pillow,,,THRW0006,19.99,,,,,,
3845,Jurassic World #3,6.73419E+11,"Lego Systems, Inc.",75917,49.99,,,,,,
3857,Freedom Glider Plane,,,FFX96318,15.99,,,,,,
3859,Firefox Glider Plane,,,FFX36331,15.99,,,,,,
3868,Lightening Glider Plane,,,FFX96321,19.99,,,,,,
3879,High Tea Princess Flower Neckl,9.32127E+12,Pink Poppy (from Creative Education of Canada),NCT-310,5.99,,,,,,
3887,Sparkle Princess Wand,9.32127E+12,Pink Poppy (from Creative Education of Canada),WC-026,5.99,,,,,,
3888,Orange Retro Sunglasses,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1090,11.99,,,,,,
3892,Green Retro Sunglasses,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1091,11.99,,,,,,
3894,Fiesta Print Sunglasses,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1087,11.99,,,,,,
3897,Floral Blossom Print Sunglasse,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1070,11.99,,,,,,
3900,Midnight Blossom Print Sunglas,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1074,11.99,,,,,,
3901,Rainbow Stripe Sunglasses,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1084,11.99,,,,,,
3902,Army Print Sunglasses,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1085,11.99,,,,,,
3907,Leopard Print w/Bow Sunglasses,9.32127E+12,Pink Poppy (from Creative Education of Canada),SG-1082,11.99,,,,,,
3908,Glam Rock Glitter Tattoo Kit,,Glimmer Body Art LLC,K00306,14.99,,,,,,
3915,Gem Elastic Bangle,9.32127E+12,Pink Poppy (from Creative Education of Canada),SET-H502,6.99,,,,,,
3921,Jr. Physician costume,6.98216E+11,Aeromax Inc.,PHDB-4/6A,49.99,,,,,,
3931,Large Flower Gem Headband,9.32127E+12,Pink Poppy (from Creative Education of Canada),PH-018A,5.99,,,,,,
3933,Blossom Tutu,,A WISH COME TRUE,S455-71,19.99,,,,,,
3942,Garden Party Butterfly Wand,9.32127E+12,Pink Poppy (from Creative Education of Canada),WD-033A,5.99,,,,,,
3948,Curious George Paper Dolls,8.00759E+11,Dover Publications,243869,6.95,,,,,,
3952,Fairyopolis,9.78072E+12,Penguin Group,9.78072E+12,19.99,,,,,,
3954,Complete Book of Flower Fairie,9.78072E+12,Penguin Group,9.78072E+12,25,,,,,,
3956,Angelina Ballerina HC,9.78067E+12,Penguin Group,9.78067E+12,14.99,,,,,,
3957,Corduroy HC,9.78067E+12,Penguin Group,9.78067E+12,16.99,,,,,,
3958,Very Hungry Caterpillar HC,9.7804E+12,Penguin Group,9.7804E+12,21.99,,,,,,
3961,Very Hungry Caterpillar BB,9.7804E+12,Penguin Group,9.7804E+12,10.99,,,,,,
3962,Very Hungry Caterpillar BB,9.7804E+12,Penguin Group,9.7804E+12,10.99,,,,,,
3966,Little Engine that Could H,9.7804E+12,Penguin Group,9.7804E+12,17.99,,,,,,
3968,Little Engine that Could B,9.78045E+12,Penguin Group,9.78045E+12,6.99,,,,,,
3969,Acryl. Gems 1 Lb.,,Chenille Kraft Co.,3584,16.99,,,,,,
3970,Madeline HC,9.78067E+12,Penguin Group,9.78067E+12,17.99,,,,,,
3971,4 oz. Sequins and Spangles,,Chenille Kraft Co.,6114,5.99,,,,,,
3973,Strega Nona HC,9.7804E+12,Penguin Group,9.7804E+12,17.99,,,,,,
3978,Snowy Day,9.78067E+12,Penguin Group,9.78067E+12,16.99,,,,,,
3980,Day Jimmy's Boa Ate the Was HC,9.7808E+12,Penguin Group,9.7808E+12,16.99,,,,,,
3982,Blueberries For Sal HC,9.78067E+12,Penguin Group,9.78067E+12,17.99,,,,,,
3983,Make Way for Ducklings HC,9.78067E+12,Penguin Group,9.78067E+12,18.99,,,,,,
3988,Dinosaur Roar BB,9.78053E+12,Penguin Group,9.78053E+12,8.99,,,,,,
3990,Each Peach Pear Plum BB,9.78067E+12,Penguin Group,9.78067E+12,6.99,,,,,,
3991,Goodnight Gorilla BB,9.7804E+12,Penguin Group,9.7804E+12,7.99,,,,,,
3993,Goodnight Gorilla Lap Edition,9.7804E+12,Penguin Group,9.7804E+12,14.99,,,,,,
3995,Buenas Noches Gorilla BB,9.7804E+12,Penguin Group,9.7804E+12,7.99,,,,,,
3998,Disney Princess Ultimate Stick,9.78147E+12,Penguin Group,9.78147E+12,12.99,,,,,,
3999,123 to the Zoo BB,9.7804E+12,Penguin Group,9.7804E+12,7.99,,,,,,
4000,Snowy Day BB,9.78067E+12,Penguin Group,9.78067E+12,6.99,,,,,,
4001,Excuse Me! BB,9.78045E+12,Penguin Group,9.78045E+12,5.99,,,,,,
4002,Paper Princess HC,9.78053E+12,Penguin Group,9.78053E+12,16.99,,,,,,
4004,Ninjago Visual Dictionary,9.78147E+12,Penguin Group,9.78147E+12,21.99,,,,,,
4033,Lovely Heart Gem Wand,9.32127E+12,Pink Poppy (from Creative Education of Canada),WD-020,5.99,,,,,,
4050,Maps Activity Book,9.78076E+12,"Random House, Inc.",9.78076E+12,14.99,,,,,,
4053,How to Surprise A Dad,9.78055E+12,"Random House, Inc.",9.78055E+12,16.99,,,,,,
4061,Soon,9.78076E+12,"Random House, Inc.",9.78076E+12,16.99,,,,,,
4062,Monty's Magnificent Mane,9.78076E+12,"Random House, Inc.",9.78076E+12,15.99,,,,,,
4073,Alice in Wonderland Down the R,9.78162E+12,"Random House, Inc.",9.78162E+12,17.95,,,,,,
4074,Shh! We Have a Plan,9.78076E+12,"Random House, Inc.",9.78076E+12,15.99,,,,,,
4076,Crab With The Golden Claws,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4077,Seuss-isms!,9.78055E+12,"Random House, Inc.",9.78055E+12,9.99,,,,,,
4079,Baby! Talk!,9.78052E+12,"Random House, Inc.",9.78052E+12,6.99,,,,,,
4081,Blue Lotus,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4082,Broken Ear,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4083,Calculus Affair,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4084,Castafiore Emerald,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4085,Cigars of the Pharoah,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4086,"Oh, Baby!",9.78158E+12,"Random House, Inc.",9.78158E+12,8.95,,,,,,
4087,Destination Moon,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4088,Flight 714,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4089,King Ottokars Sceptre,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4091,Land of Black Gold,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4093,Prisoners of the Sun,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4094,A Book of Babies,9.78055E+12,"Random House, Inc.",9.78055E+12,6.99,,,,,,
4096,Secret of the Unicorn,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4097,Seven Crystal Balls,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4098,Shooting Star,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4099,TinTin and the Picaros,9.78032E+12,Hachette Book Group,9.78032E+12,10.99,,,,,,
4109,Dear Tooth Fairy,9.78007E+12,HARPER COLLINS PUBLISHERS,9.78007E+12,17.99,,,,,,
4138,Justice League Reading Collect,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,16.99,,,,,,
4140,Frog & Toad Collection Boxed S,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,11.99,,,,,,
4141,Trumpet of the Swan,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,6.99,,,,,,
4146,Cinderella's Dress,9.78059E+12,Scholastic,590569279,16.99,,,,,,
4149,Ella The Elegant Elephant,9.78044E+12,Scholastic,9.78044E+12,17.99,,,,,,
4151,Mouse & the Motorcycle,9.78038E+12,HARPER COLLINS PUBLISHERS,9.78038E+12,6.99,,,,,,
4152,Ralph S. Mouse,9.78038E+12,HARPER COLLINS PUBLISHERS,9.78038E+12,6.99,,,,,,
4153,Pirate Princess,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,17.99,,,,,,
4155,Monsters Love Colors,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,15.99,,,,,,
4157,Monsters Love School,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,15.99,,,,,,
4158,"Little Miss, Big Sis",9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,17.99,,,,,,
4160,Princess Knight,9.78044E+12,Scholastic,9.78044E+12,17.99,,,,,,
4164,"Sleep Tight, Little Mouse",9.78055E+12,"Random House, Inc.",9.78055E+12,6.99,,,,,,
4173,The Year of the Pig,9.7816E+12,,YOP01,18.99,,,,,,
4178,"Trains, Cranes & Troublesome T",9.78039E+12,"Random House, Inc.",9.78039E+12,6.99,,,,,,
4179,Baby Animals Spots & Stripes,9.78158E+12,"Random House, Inc.",9.78158E+12,6.95,,,,,,
4181,Funny Animals,9.78162E+12,"Random House, Inc.",9.78162E+12,6.95,,,,,,
4182,Speed Machines 10 Model Set,,K'NEX Brands,61003A,13.99,,,,,,
4183,Racing Fun Set,,K'NEX Brands,11554,9.99,,,,,,
4184,Revised 400 pc Tub,,K'NEX Brands,12077,24.99,,,,,,
4186,Big Value Tub,,K'NEX Brands,12066A,19.99,,,,,,
4191,Little Kunoichi The Ninja Girl,9.78157E+12,"Random House, Inc.",9.78157E+12,16.99,,,,,,
4196,World of Mamoko Year 3000,9.78076E+12,"Random House, Inc.",9.78076E+12,17.99,,,,,,
4198,Cars Galore,9.78076E+12,"Random House, Inc.",9.78076E+12,15.99,,,,,,
4201,Cars Galore,9.78076E+12,"Random House, Inc.",9.78076E+12,6.99,,,,,,
4221,Hidden Pictures Adventure Puzz,9.78162E+12,Perseus Books,9.78162E+12,9.95,,,,,,
4225,Hidden Pictures Sports Puzzles,9.78162E+12,Perseus Books,9.78162E+12,9.95,,,,,,
4226,Noodle Loves Bedtime,9.78076E+12,"Random House, Inc.",9.78076E+12,8.99,,,,,,
4232,Hidden Pictures On The Move Pu,9.78159E+12,Perseus Books,9.78159E+12,9.95,,,,,,
4233,SF Giants Activity Book,9.78194E+12,Perseus Books,9.78194E+12,7.99,,,,,,
4236,Naboo Starfighter,6.73419E+11,"Lego Systems, Inc.",75092,49.99,,,,,,
4238,20th Century Children's Poetry,9.78068E+12,"Random House, Inc.",9.78068E+12,19.95,,,,,,
4239,Poop,9.78076E+12,"Random House, Inc.",9.78076E+12,5.99,,,,,,
4258,Fire Truck,6.73419E+11,"Lego Systems, Inc.",10592,24.99,,,,,,
4262,Spider Man Spider Truck Advent,6.73419E+11,"Lego Systems, Inc.",10608,29.99,,,,,,
4274,Maxi Kick Scooter,7.64011E+12,Kickboard USA (Micro-Mobility Ltd),mk0001-T,134.99,,,,,,
4277,Batman Adventure,6.73419E+11,"Lego Systems, Inc.",10599,39.99,,,,,,
4279,Road Work Truck,6.73419E+11,"Lego Systems, Inc.",10683,19.99,,,,,,
4295,Spider Man Hideout,6.73419E+11,"Lego Systems, Inc.",10687,29.99,,,,,,
4303,Space Starter Set,6.73419E+11,"Lego Systems, Inc.",60077,11.99,,,,,,
4304,Utility Shuttle,6.73419E+11,"Lego Systems, Inc.",60078,24.99,,,,,,
4311,Training Jet Transporter,6.73419E+11,"Lego Systems, Inc.",60079,49.99,,,,,,
4312,Spaceport,6.73419E+11,"Lego Systems, Inc.",60080,119.99,,,,,,
4313,Deep Sea Starter Set,6.73419E+11,"Lego Systems, Inc.",60091,11.99,,,,,,
4314,Deep Sea Submarine,6.73419E+11,"Lego Systems, Inc.",60092,39.99,,,,,,
4323,Deep Sea Helicopter,6.73419E+11,"Lego Systems, Inc.",60093,49.99,,,,,,
4324,Carnage's Shield Sky Attack,6.73419E+11,"Lego Systems, Inc.",76036,15.99,,,,,,
4328,Blaster Bike,6.73419E+11,"Lego Systems, Inc.",70733,19.99,,,,,,
4330,Master Wu Dragon,6.73419E+11,"Lego Systems, Inc.",70734,39.99,,,,,,
4331,Titan Mech Battle,6.73419E+11,"Lego Systems, Inc.",70737,59.99,,,,,,
4334,Alphabet Sticker Pack,35081463017,Mrs. Grossmans,46301,6.99,,,,,,
4341,Blue Power Jet,6.73419E+11,"Lego Systems, Inc.",31039,69.99,,,,,,
4346,Chicken Soup With Rice,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,7.99,,,,,,
4347,"Go to Sleep, Little Farm",9.78054E+12,Houghton Mifflin Co.,9.78054E+12,16.99,,,,,,
4348,Skull Scorpio,6.73419E+11,"Lego Systems, Inc.",70794,16.99,,,,,,
4349,Mask Maker vs. Skull Grinder,6.73419E+11,"Lego Systems, Inc.",70795,29.99,,,,,,
4351,Constraction 1,,"Lego Systems, Inc.",75107,19.99,,,,,,
4352,Constraction 2,,"Lego Systems, Inc.",75108,19.99,,,,,,
4353,Constraction 4,,"Lego Systems, Inc.",75110,19.99,,,,,,
4357,Constraction 3,,"Lego Systems, Inc.",75109,24.99,,,,,,
4362,Water Limbo Sprinkler,93539012408,Little Kids Inc.,1240,17.99,,,,,,
4364,Constraction 5,,"Lego Systems, Inc.",75111,29.99,,,,,,
4368,Constraction 6,,"Lego Systems, Inc.",75112,34.99,,,,,,
4369,Nail Polish Remover,,Piggy Paint,2,8.99,,,,,,
4376,AntiMatter's Portal Hideout,6.73419E+11,"Lego Systems, Inc.",70172,69.99,,,,,,
4378,The Dungeon,6.73419E+11,"Lego Systems, Inc.",21119,19.99,,,,,,
4383,Thumbs Up!,,Blue Orange Games,1200,14.99,,,,,,
4384,Kings Gold Game,,Blue Orange Games,1400,13.99,,,,,,
4385,Super Genius Addition,,Blue Orange Games,1301,12.99,,,,,,
4387,Super Genius Multiplucation,,Blue Orange Games,1302,12.99,,,,,,
4397,Police Car,,Playmobil USA,6797,11.99,,,,,,
4399,Take Along Zoo & Aquarium,,Playmobil USA,6792,49.99,,,,,,
4400,Girl w/Dog,,Playmobil USA,6796,5.99,,,,,,
4404,Tractor,,Playmobil USA,6794,11.99,,,,,,
4406,Star Flyer Glider Plane,,Playmobil USA,5218,29.99,,,,,,
4407,Speed Glider Plane,,Playmobil USA,5219,29.99,,,,,,
4408,Forever Fancy Polish,,Piggy Paint,11,8.99,,,,,,
4409,LOL Polish,,Piggy Paint,129,8.99,,,,,,
4410,Candy Coated Polish,,Piggy Paint,28,8.99,,,,,,
4411,Fairy Fabulous Polish,,Piggy Paint,26,8.99,,,,,,
4416,Girls Rule Polish,,Piggy Paint,21,8.99,,,,,,
4417,Superbike Motorcycle,,Playmobil USA,5522,11.99,,,,,,
4418,Pirate Treasure Chest,,Playmobil USA,5347,39.99,,,,,,
4420,Skull & Crossbones Corsair Shi,,Playmobil USA,5298,24.99,,,,,,
4424,Glamour Girl Polish,,Piggy Paint,29,8.99,,,,,,
4428,Stinky Cheese Man,9.78067E+12,Penguin Group,9.78067E+12,17.99,,,,,,
4429,Ice Cream Dream Polish,,Piggy Paint,15,8.99,,,,,,
4430,Clouds of Candy Polish,,Piggy Paint,18,8.99,,,,,,
4431,Boomerang,,Chenille Kraft Co.,BSW,9.99,,,,,,
4432,Morgan's Reveng Game,,Chenille Kraft Co.,MRVC,9.99,,,,,,
4440,Eagle Tournament Knight,,Playmobil USA,5355,14.99,,,,,,
4441,Sequin Polish,,Piggy Paint,24,8.99,,,,,,
4443,Bubblegum Kit,,Copernicus Educational Products,DIY-BUB,16.99,,,,,,
4444,Rootbeer Kit,,Copernicus Educational Products,BIY-ROOT,15.99,,,,,,
4446,Glitter Bug Polish,,Piggy Paint,27,8.99,,,,,,
4451,Pet Tornado,43067809537,Copernicus Educational Products,PETT,6.99,,,,,,
4452,Sweet Pea Polish,,Piggy Paint,25,8.99,,,,,,
4453,Lion Tournament Knight,,Playmobil USA,5356,14.99,,,,,,
4454,Angel Kisses Polish,,Piggy Paint,12,8.99,,,,,,
4455,Gyroscope,43067000064,Copernicus Educational Products,GYRO/1069,9.99,,,,,,
4456,Wild Horse Tournament Knight,,Playmobil USA,5357,14.99,,,,,,
4458,Dragon Tournament Knight,,Playmobil USA,5358,14.99,,,,,,
4468,Dragon Dancing,9.78067E+12,Penguin Group,9.78067E+12,16.99,,,,,,
4471,Boy w/Children's Tractor,,Playmobil USA,4943,9.99,,,,,,
4477,"Do Your ABC's, Little Brown Be",9.78014E+12,Penguin Group,9.78014E+12,5.99,,,,,,
4478,Cat Family w/Basket,,Playmobil USA,5535,7.99,,,,,,
4485,Birthday Boy!,9.78084E+12,Penguin Group,9.78084E+12,5.99,,,,,,
4487,Pet Examination Room,,Playmobil USA,5530,29.99,,,,,,
4489,Baby Loves Jazz: Ella Elephant,9.78084E+12,Penguin Group,9.78084E+12,8.99,,,,,,
4490,Vet w/Car,,Playmobil USA,5532,24.99,,,,,,
4491,Outdoor Care Station,,Playmobil USA,5531,39.99,,,,,,
4492,Animal's Santa,9.7804E+12,Penguin Group,9.7804E+12,17.99,,,,,,
4493,Ladybug Girl Ready for Snow,9.7808E+12,Penguin Group,9.7808E+12,5.99,,,,,,
4507,True Story of the 3 Little Pig,9.78067E+12,Penguin Group,9.78067E+12,16.99,,,,,,
4512,Wreck This Journal Everywhere,9.7804E+12,Penguin Group,9.7804E+12,10,,,,,,
4521,If Kisses Were Colors,9.7808E+12,Penguin Group,9.7808E+12,16.99,,,,,,
4524,10 Mintues Till Bedtime,9.7804E+12,Penguin Group,9.7804E+12,8.99,,,,,,
4530,An Otis Christmas,9.7804E+12,Penguin Group,9.7804E+12,17.99,,,,,,
4531,Summer Fairy Princess w/Pegasu,,Playmobil USA,5352,14.99,,,,,,
4533,Toy Boat,9.7804E+12,Penguin Group,9.7804E+12,7.99,,,,,,
4537,Miss Bindergarten Gets Ready,9.78053E+12,Penguin Group,9.78053E+12,16.99,,,,,,
4539,Pippi Longstocking,9.78014E+12,Penguin Group,9.78014E+12,6.99,,,,,,
4541,Mitten BB,9.7804E+12,Penguin Group,9.7804E+12,7.99,,,,,,
4543,Autumn Fairy Princess w/Pegasu,,Playmobil USA,5353,14.99,,,,,,
4547,Winter Princess w/Pegasus,,Playmobil USA,5354,14.99,,,,,,
4550,Twilight Turtle,8.72354E+11,Cloud B Inc.,7323-ZZ,34.99,,,,,,
4553,Spring Fairy Princess w/Pegasu,,Playmobil USA,5351,14.99,,,,,,
4558,O'Ball Shaker Rattle,74451811072,Mary Meyer Corporation,81107,7.99,,,,,,
4561,Monkey Pacifier,7.19771E+11,Mary Meyer Corporation,35370,15.99,,,,,,
4564,Owl Rattle,7.19771E+11,Mary Meyer Corporation,39302,8.99,,,,,,
4565,Buddy Dog Soft Toy,7.19771E+11,Mary Meyer Corporation,31741,24.99,,,,,,
4567,Tinkerbell Dress,8.47942E+11,Little Adventures,13131,39.99,,,,,,
4570,Black Hobby Horse,7.19771E+11,Mary Meyer Corporation,11660,24.99,,,,,,
4574,Rainbow Pearls Pacifier Chains,4.01017E+12,HABA USA/Habermaass,301114,12.99,,,,,,
4577,Magic Rolling Clutching Toy Ra,4.01017E+12,HABA USA/Habermaass,301260,14.99,,,,,,
4578,Baby Snoozies Slippers,,,BABSNZ-F12-A,9.99,,,,,,
4579,Precious Pony Hobby Horse,7.19771E+11,Mary Meyer Corporation,11750,19.99,,,,,,
4581,Princess Pony Hobby Horse,7.19771E+11,Mary Meyer Corporation,11760,19.99,,,,,,
4586,Little Birds Mobile,4.01017E+12,HABA USA/Habermaass,301254,19.99,,,,,,
4590,Town Magnetic Maze,4.01017E+12,HABA USA/Habermaass,301056,19.99,,,,,,
4592,Tree Magnetic Maze,4.01017E+12,HABA USA/Habermaass,301057,19.99,,,,,,
4596,Pajaggle Pieces,,Pajaggle,PAJ6002,12.99,,,,,,
4601,Adventure Vehicles,6.73419E+11,"Lego Systems, Inc.",31037,24.99,,,,,,
4614,Safari Mobile,4.01017E+12,HABA USA/Habermaass,301135,24.99,,,,,,
4638,Water Airplane,4.01017E+12,HABA USA/Habermaass,301298,9.99,,,,,,
4644,Ant Farm,42499000154,Uncle Milton Industries,15,15.99,,,,,,
4650,Bubble Bath Beater,4.01017E+12,HABA USA/Habermaass,301294,6.99,,,,,,
4651,Drum Set,,Ohio Art Co,58137,13.99,,,,,,
4654,Sand Dinosaur Skull Digger,4.01017E+12,HABA USA/Habermaass,301455,15.99,,,,,,
4655,Pirates Playground Ball,7.32396E+11,Crocodile Creek,2142-2,10.99,,,,,,
4656,Mushroom EVA Bib,,HABA USA/Habermaass,2001389,9.99,,,,,,
4657,Shark EVA Bib,,HABA USA/Habermaass,2001391,9.99,,,,,,
4658,Crocodile EVA Bib,,HABA USA/Habermaass,2001032,9.99,,,,,,
4659,Deer EVA Bib,,HABA USA/Habermaass,2001390,9.99,,,,,,
4661,Star Wars Wolf 2,6.73419E+11,"Lego Systems, Inc.",75100,39.99,,,,,,
4663,Star Wars Wolf 6,6.73419E+11,"Lego Systems, Inc.",75104,119.99,,,,,,
4665,Scottie Medium,6.70983E+11,"Jellycat, Inc.",BAS3SO,19.99,,,,,,
4669,Mini Neon Vibe Ball,25725419630,Franklin Sports,34521,6.99,,,,,,
4672,Playbook Football Set,,Franklin Sports,3302400,29.99,,,,,,
4676,Blackhawk Soccer Goal,,Franklin Sports,30091,24.99,,,,,,
4678,Revenge of the DinoTrux,9.78032E+12,Hachette Book Group,9.78032E+12,16.99,,,,,,
4679,O'Ball Rainstick,8.34282E+11,Mary Meyer Corporation,81030,17.99,,,,,,
4680,Three Little Piggies,8.47563E+11,Tangoes (Smart Tangoes USA),SG 019 US,25.99,,,,,,
4681,Dog Chime Ball,7.19771E+11,Mary Meyer Corporation,31744,19.99,,,,,,
4682,Appaloosa Hobby Horse,7.19771E+11,Mary Meyer Corporation,11670,24.99,,,,,,
4684,The Grapes of Math,9.78044E+12,Scholastic,9.78044E+12,6.99,,,,,,
4685,Groovy Grape Polish,,Piggy Paint,123,8.99,,,,,,
4686,Drama Polish,,Piggy Paint,124,8.99,,,,,,
4687,Lower Case Magnetic Letters,8.00791E+12,"International Playthings, Inc.",QA5430,8.99,,,,,,
4689,Animal Face Matching Game,6.89197E+11,eeBoo,MGANF2,15.99,,,,,,
4690,IQ-Candy,8.47563E+11,Tangoes (Smart Tangoes USA),SG 485 US,16.99,,,,,,
4691,I Never Forget A Face Matching,6.89197E+11,eeBoo,MGFAC3,15.99,,,,,,
4692,Life On Earth Matching Game,6.89197E+11,eeBoo,MGLOE3,15.99,,,,,,
4694,Community Cooperative Game,,eeBoo,GMCOM,19.99,,,,,,
4695,Addition Flash Cards,6.89197E+11,eeBoo,FLADD,6.99,,,,,,
4696,Subtraction Flash Cards,6.89197E+11,eeBoo,FLSUB,6.99,,,,,,
4697,Multiplucation Flash Cards,6.89197E+11,eeBoo,FMULT,6.99,,,,,,
4698,Skating Dogs Advent Calendar,6.89197E+11,eeBoo,AC05,7.99,,,,,,
4701,Butterflies Game,8.47563E+11,Tangoes (Smart Tangoes USA),SG 495 US,16.99,,,,,,
4702,Pull & Hop Bunny,,KID O PRODUCTS,10443,34.99,,,,,,
4704,Animal Village Advent Calendar,6.89197E+11,eeBoo,ACVIL,7.99,,,,,,
4705,Rabbits' Den Glitter Puzzle,6.89197E+11,eeBoo,PZRABB,9.99,,,,,,
4706,Christmas Eve Parade Puzzle,6.89197E+11,eeBoo,PZEVE,11.99,,,,,,
4708,Snowman's Band Advent Calendar,6.89197E+11,eeBoo,ACBAND,7.99,,,,,,
4709,Pour & Spin Submarine,,KID O PRODUCTS,10451,24.99,,,,,,
4710,Snowman's Band Glitter Puzzle,6.89197E+11,eeBoo,PZBAND,12.99,,,,,,
4712,Water Tower Set,,KID O PRODUCTS,10450,17.99,,,,,,
4713,Plui Rain Cloud,,KID O PRODUCTS,46,13.99,,,,,,
4714,Unicorn Popper,6.05169E+11,"Hog Wild, LLC.",54908,9.99,,,,,,
4717,Orca Popper,6.05169E+11,"Hog Wild, LLC.",54913,9.99,,,,,,
4718,Atomic Shield Popper,6.05169E+11,"Hog Wild, LLC.",54050,19.99,,,,,,
4727,Spy Pen,35594000884,"Westminster, Inc.",88,7.99,,,,,,
4731,Viper X Mini Quadcopter,6.71714E+12,Leading Edge Novelty,VIP7,49.99,,,,,,
4738,Big Ben,26511581463,Ohio Art Co,58146,26.99,,,,,,
4739,World's Smallest RC Helicopter,35594009665,"Westminster, Inc.",966,26.99,,,,,,
4740,Chrysler Building,26511581470,Ohio Art Co,58147,26.99,,,,,,
4748,Prisma Light,35594024354,"Westminster, Inc.",2435,9.99,,,,,,
4766,Hercules Beetle,,Ohio Art Co,58167,13.99,,,,,,
4767,Praying Mantis,,Ohio Art Co,58168,13.99,,,,,,
4768,Giant Hornet,,Ohio Art Co,58169,13.99,,,,,,
4773,Violin,,Ohio Art Co,58110,13.99,,,,,,
4781,Bubble Train,19649232505,"Schylling Associates, Inc.",BUTR,24.99,,,,,,
4783,Electric Guitar (Red),,Ohio Art Co,58136,13.99,,,,,,
4784,In the Galaxy Puzzle,4.00556E+12,Ravensburger ,9511,11.99,,,,,,
4790,Construction Vehicles-Friction,19649232499,"Schylling Associates, Inc.",FCV,5.99,,,,,,
4793,Whirl-O,80486058115,"Schylling Associates, Inc.",5811,7.99,,,,,,
4800,Mini Micro Scooter,,Kickboard USA (Micro-Mobility Ltd),MM0055,84.99,,,,,,
4806,Guess How Much I Love You,9.78156E+12,"Random House, Inc.",9.78076E+12,16.99,,,,,,
4817,Guess How Much I Love You,9.78076E+12,"Random House, Inc.",9.78076E+12,16.99,,,,,,
4832,Owl Ring Rattle,,Apple Park,TM289,17.99,,,,,,
4839,Retro Juggling Balls,19649232598,"Schylling Associates, Inc.",RJB,5.99,,,,,,
4875,Mermaid Foil Lock & Key Diary,6.43356E+11,Peacable Kingdom Press,5406,11.99,,,,,,
4883,Pink Donut,,Squishable,SQU-827883,34.99,,,,,,
4901,Cinnamon Bun,,Squishable,SQU-785244,39.99,,,,,,
4902,Chocolate Cupcake,,Squishable,SQU-817846,39.99,,,,,,
4934,Chocolate Strawberry,,Squishable,SQU-100075,29.99,,,,,,
4935,Pink Cupcake,,Squishable,SQU-785237,19.99,,,,,,
4938,S'more,,Squishable,SQU-100112,19.99,,,,,,
4955,Pop Star Recording Studio,6.73419E+11,"Lego Systems, Inc.",41103,16.99,,,,,,
4956,Pop Star Dressing Room,6.73419E+11,"Lego Systems, Inc.",41104,29.99,,,,,,
4959,Pop Star Show Stage,6.73419E+11,"Lego Systems, Inc.",41105,39.99,,,,,,
4972,5LM Bake  Birthday Cake,9.78062E+12,Houghton Mifflin Co.,9.78062E+12,6.99,,,,,,
4977,Pop Star Tour Bus,6.73419E+11,"Lego Systems, Inc.",41106,59.99,,,,,,
4978,Heartlake Grand Hotel,6.73419E+11,"Lego Systems, Inc.",41101,129.99,,,,,,
